productId,productName,category,price,quantity,createdDate
PRD001,Laptop Pro 15,ELECTRONICS,1299.99,50,2023-01-15
PRD002,Wireless Mouse,ELECTRONICS,29.99,200,2023-01-16
PRD003,Office Chair,FURNITURE,199.99,25,2023-01-17
PRD004,Coffee Mug,KITCHENWARE,12.99,100,2023-01-18
PRD005,Smartphone X,ELECTRONICS,899.99,75,2023-01-19
PRD006,Desk Lamp,FURNITURE,45.99,60,2023-01-20
PRD007,Water Bottle,KITCHENWARE,19.99,150,2023-01-21
PRD008,Keyboard Mechanical,ELECTRONICS,89.99,80,2023-01-22
PRD009,Standing Desk,FURNITURE,299.99,15,2023-01-23
PRD010,Blender Pro,KITCHENWARE,149.99,30,2023-01-24